page_number;name;synonym
1;Niacinamide;Vitamin B3|Nicotinamide|3-Pyridinecarboxamide
1;Hyaluronic Acid;Hyaluronic Acid|Hyaluronan
1;Salicylic Acid;Salicylic Acid
1;Glycerin;Glycerin|Vegetable Glycerin|Glycerine|Glycerol
1;Retinol;Retinol|Vitamin A
1;Ascorbic Acid;Ascorbic Acid|Vitamin C|L-Ascorbic Acid
1;Water;Water|Eau|Aqua|Purified Water|Aqua / Water|Distilled Water|Deionized Water|Spring Water
1;Panthenol;Panthenol|Pro-Vitamin B5
1;Glycolic Acid;Glycolic Acid
1;Centella Asiatica Extract;Centella Asiatica Extract|Gotu Kola|Tiger Grass|Indian Pennywort|Cica|Asiatic Acid|Hydrocotyl|Asiatic Pennywort
1;Azelaic Acid;Azelaic Acid
1;Sodium Hyaluronate;Sodium Hyaluronate|Hyaluronic Acid|Hyaluronic Sodium|Hyaluronic Salt
1;Squalane;Squalane|Olive Squalane
1;Lactic Acid;Lactic Acid
1;Tretinoin;Tretinoin|All-Trans-Retinoic Acid|Retinoic Acid
1;Benzoyl Peroxide;Benzoyl Peroxide
1;Snail Secretion Filtrate;Snail Secretion Filtrate|Snail Mucin|Snail Secretion Filtrate|Ssf
1;BHA;BHA|Butylated Hydroxyanisole
1;Ceramide NP;Ceramide NP|Ceramide NP|2-Octadecanamide|Stearoyl-C18-Phytosphingosine|Stearoyl-4-Hydroxysphinganine
1;Ceramide AP;Ceramide AP|1,3,4-Octadecanetriol|2-(2-Hydroxy) Stearamide|Α-Hydroxy-N-Stearoylphytosphingosine|Ceramide 6
1;Citric Acid;Citric Acid
1;Tocopherol;Tocopherol|Vitamin E
1;Camellia Sinensis Leaf Extract;Camellia Sinensis Leaf Extract|Green Tea|Oolong Tea|White Tea|Black Tea|Green Tea Extract|Green Tea Leaf Extract
1;Alpha-Arbutin;Alpha-Arbutin
2;Ceramide 1;Ceramide 1
2;Retinal;Retinal|Retinaldehyde
2;Allantoin;Allantoin
2;Copper Tripeptide-1;Copper Tripeptide-1|Ghk-Cu|Glycyl-L-Histidyl-L-Lysine|Ghk|Copper Peptide
